Barcode,Product Name,Product Description,Cost Price,Selling Price,Tax Percentage,Category Name
691584124796,STLTH GeekBar 80K 30mL Blue Razz,STLTH x GEEK BAR 80K 30mL Blue Razz,32.83,47.99,13.00,VAPE & CIGAR
,STLTH GeekBar 80K 30mL Blue Razz CTN4,STLTH x GEEK BAR 80K 30mL Blue Razz - carton of 4,131.32,191.96,13.00,VAPE & CIGAR
691584151600,STLTH GeekBar 80K Canada LE Straw Kiwi I,STLTH x GEEK BAR 80K 30mL Canada LE Strawberry Kiwi Ice,32.83,47.99,13.00,VAPE & CIGAR
,STLTH GeekBar 80K Canada LE Straw K CTN4,STLTH x GEEK BAR 80K 30mL Canada LE Strawberry Kiwi Ice - carton of 4,131.32,191.96,13.00,VAPE & CIGAR
691584124864,STLTH GeekBar 80K 30mL Juicy Peach,STLTH x GEEK BAR 80K 30mL Juicy Peach,32.83,47.99,13.00,VAPE & CIGAR
,STLTH GeekBar 80K 30mL Juicy Peach CTN4,STLTH x GEEK BAR 80K 30mL Juicy Peach - carton of 4,131.32,191.96,13.00,VAPE & CIGAR
,STLTH GeekBar 80K 30mL Mango Peach Ice,STLTH x GEEK BAR 80K 30mL Mango Peach Ice,32.83,47.99,13.00,VAPE & CIGAR
,STLTH GeekBar 80K Mango Peach Ice CTN4,STLTH x GEEK BAR 80K 30mL Mango Peach Ice - carton of 4,131.32,191.96,13.00,VAPE & CIGAR
,STLTH GeekBar 80K 30mL Purple Grape Ice,STLTH x GEEK BAR 80K 30mL Purple Grape Ice,32.83,47.99,13.00,VAPE & CIGAR
,STLTH GeekBar 80K Purple Grape Ice CTN4,STLTH x GEEK BAR 80K 30mL Purple Grape Ice - carton of 4,131.32,191.96,13.00,VAPE & CIGAR
691584125496,STLTH GeekBar 80K 30mL Wild Wtrmln Ice,STLTH x GEEK BAR 80K 30mL Wild Watermelon Ice,32.83,47.99,13.00,VAPE & CIGAR
,STLTH GeekBar 80K Wild Wtrmln Ice CTN4,STLTH x GEEK BAR 80K 30mL Wild Watermelon Ice - carton of 4,131.32,191.96,13.00,VAPE & CIGAR
