Barcode,Product Name,Category,Epos PriceExTax,Epos PriceIncTax,Correct PriceExTax,Correct PriceIncTax,Difference,Issue
040000497523,M&M MILK CHOC 87.9G,"CANDY,GUMS & CHOCOLATES",3.99,4.51,2.99,3.38,1.00,price landed on the wrong product
058496812324,M & M PEANUT 49G,"CANDY,GUMS & CHOCOLATES",4.09,4.62,2.49,2.81,1.60,price landed on the wrong product
058496812317,"M & M CANDY,GUMS & CHOCOLATES 48G","CANDY,GUMS & CHOCOLATES",15.93,18.00,2.49,2.81,13.44,price landed on the wrong product
814724020141,Lsta mint chill,HEALTH & BEAUTY,2.99,3.38,2.21,2.50,0.78,price landed on the wrong product
062067423246,Lowenbrau 6tc,Beer,2.49,2.81,15.50,17.44,-13.01,price landed on the wrong product
059338134666,Lovu cotton swabs,HEALTH & BEAUTY,2.49,2.81,3.99,4.51,-1.50,price landed on the wrong product
056910401345,old milwaukee 6PK,Beer,4.99,5.64,13.35,15.01,-8.36,price landed on the wrong product
056910402540,Old Milwaukee 6 pack,Beer,5.50,6.22,13.35,15.01,-7.85,price landed on the wrong product
056910402502,old milwaukee blue 473 ml,Beer,5.49,6.20,2.59,2.91,2.90,price landed on the wrong product
056910401338,old milwaukee 473 ml,Beer,4.50,5.09,2.59,2.91,1.91,price landed on the wrong product
063474104179,Old dutch,GROCERY,13.35,15.09,4.99,5.64,8.36,price landed on the wrong product
063474313496,Old dutch,GENERAL ITEMS,13.35,15.09,7.89,8.92,5.46,price landed on the wrong product
060410046678,original CHIPS & SNACKS,CHIPS & SNACKS,15.51,17.53,5.49,6.20,10.02,price landed on the wrong product
056910414734,Pabst Blue Ribbon 6 pk,Beer,119.50,135.04,15.51,17.45,103.99,price landed on the wrong product
056910406418,Pabst,DELI,14.50,16.39,2.59,2.91,11.91,price landed on the wrong product
059300527786,Pall Mall Bold cart.,TOBACCO,14.50,16.39,119.50,135.04,-105.00,price landed on the wrong product
059300062751,PALL MALLSP XL FULL KS,TOBACCO,2.99,3.38,15.04,17.00,-12.05,price landed on the wrong product
05506101,Parlour Juice Pop,Ice cream,3.10,3.50,1.55,1.75,1.55,price landed on the wrong product
