Product Name,Product Description,Cost Price,Selling Price,Tax Percentage,Category Name
060410086407,060410086407,0.00,5.64,13.00,CHIPS & SNACKS
all dressed 60g,all dressed 60g,0.00,2.70,13.00,CHIPS & SNACKS
ALl dresssed CHIPS & SNACKS,ALl dresssed CHIPS & SNACKS,3.17,6.20,13.00,CHIPS & SNACKS
BBQ  CHIPS & SNACKS,BBQ  CHIPS & SNACKS,3.17,6.22,13.00,CHIPS & SNACKS
Diritos Nacho 70g,Diritos Nacho 70g,1.09,2.70,13.00,CHIPS & SNACKS
DOR BLD BBQ 235G,DOR BLD BBQ 235G,3.36,6.09,13.00,CHIPS & SNACKS
DOR COL RNC 235G,DOR COL RNC 235G,3.12,6.22,13.00,CHIPS & SNACKS
DOR NCH CHS,DOR NCH CHS,3.36,6.09,13.00,CHIPS & SNACKS
DOR SWT CHL 235G,DOR SWT CHL 235G,3.36,6.09,13.00,CHIPS & SNACKS
DOR ZSTY CH 235G,DOR ZSTY CH 235G,3.36,6.09,13.00,CHIPS & SNACKS
EXCEL POLAR,EXCEL POLAR,0.00,2.50,13.00,CHIPS & SNACKS
FL MISS VICKIES SPICY DILL P,FL MISS VICKIES SPICY DILL P,3.36,6.20,13.00,CHIPS & SNACKS
FL OVEN BAKED BBQ 177G,FL OVEN BAKED BBQ 177G,0.00,6.09,13.00,CHIPS & SNACKS
FL RUFFLES REGULAR,FL RUFFLES REGULAR,0.00,6.22,13.00,CHIPS & SNACKS
ket,ket,0.00,2.47,13.00,CHIPS & SNACKS
Lays,Lays,0.00,5.64,13.00,CHIPS & SNACKS
LAYS CLASSIC 235G,LAYS CLASSIC 235G,0.00,5.64,13.00,CHIPS & SNACKS
Lay's Classic 60g,Lay's Classic 60g,1.09,2.70,13.00,CHIPS & SNACKS
LAYS LIGHTLY SALTED 235G,LAYS LIGHTLY SALTED 235G,3.44,6.09,13.00,CHIPS & SNACKS
LAYS WAVY ORIGINAL 235G,LAYS WAVY ORIGINAL 235G,3.44,6.09,13.00,CHIPS & SNACKS
Miss Vickie's Origianl 55g,Miss Vickie's Origianl 55g,0.00,2.70,13.00,CHIPS & SNACKS
MISS VICKIES SOUR CREAM & ONION,MISS VICKIES SOUR CREAM & ONION,0.00,6.09,13.00,CHIPS & SNACKS
original  CHIPS & SNACKS,original  CHIPS & SNACKS,3.36,6.20,13.00,CHIPS & SNACKS
Pringles All Dressed,Pringles All Dressed,0.00,5.64,13.00,CHIPS & SNACKS
PRINGLES BBQ,PRINGLES BBQ,0.00,5.64,13.00,CHIPS & SNACKS
Pringles Masala,Pringles Masala,0.00,5.64,13.00,CHIPS & SNACKS
Pringles Origianl 67g,Pringles Origianl 67g,0.00,3.01,13.00,CHIPS & SNACKS
PRINGLES ORIGINAL,PRINGLES ORIGINAL,0.00,5.64,13.00,CHIPS & SNACKS
PRINGLES SALT & VINEGAR,PRINGLES SALT & VINEGAR,0.00,5.64,13.00,CHIPS & SNACKS
Pringles Sauce chilly,Pringles Sauce chilly,0.00,5.64,13.00,CHIPS & SNACKS
PRINGLES SOUR CREAM& ONION,PRINGLES SOUR CREAM& ONION,0.00,5.64,13.00,CHIPS & SNACKS
Pringles Spicy hot pot,Pringles Spicy hot pot,0.00,5.64,13.00,CHIPS & SNACKS
regular CHIPS & SNACKS,regular CHIPS & SNACKS,3.17,6.20,13.00,CHIPS & SNACKS
RUFFLES CHEDDAR & SOUR CREAM,RUFFLES CHEDDAR & SOUR CREAM,0.00,6.09,13.00,CHIPS & SNACKS
Sea salt & malt vinegar,Sea salt & malt vinegar,0.00,6.22,13.00,CHIPS & SNACKS
